id,artist,project,title,start_date,end_date,year,country,city,venue,series_or_tour,is_festival,status,canceled_reason,setlist,media_links,sources,notes,event_type,type_tags,co_artists,organizer,created_at,updated_at
2001-10-10-01,자우림,jaurim,일본 해외 단독 콘서트,2001-10-10,2001-10-10,2001,JP,도쿄,시부야 A/X 공연장,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2002-04-16-01,자우림,jaurim,Secret Concert - 祕園,2002-04-16,2002-04-16,2002,KR,서울,대학로 폴리미디어 씨어터,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2002-09-28-01,자우림,jaurim,"LIVE [lī]",2002-09-28,2002-09-29,2002,KR,서울,올림픽공원 테니스 경기장,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2002-11-17-01,자우림,jaurim,콘서트,2002-11-17,2002-11-17,2002,KR,부산,BEXCO,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2002-12-31-01,자우림,jaurim,Midnight Express,2002-12-31,2002-12-31,2002,KR,서울,잠실 실내체육관,MIDNIGHT EXPRESS,false,held,,,,,,,solo,year-end,,,2025-08-09,2025-08-09
2004-12-24-01,자우림,jaurim,Luv Jaurim in Seoul,2004-12-24,2004-12-25,2004,KR,서울,COEX 컨벤션홀 대서양홀,Luv Jaurim,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2004-12-31-01,자우림,jaurim,Luv Jaurim in Busan,2004-12-31,2004-12-31,2004,KR,부산,KBS홀,Luv Jaurim,false,held,,,,,,,solo,year-end,,,2025-08-09,2025-08-09
2005-02-27-01,자우림,jaurim,Luv Jaurim in Daegu,2005-02-27,2005-02-27,2005,KR,대구,엑스코,Luv Jaurim,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2005-03-13-01,자우림,jaurim,Luv Jaurim in Daejeon,2005-03-13,2005-03-13,2005,KR,대전,무역전시관,Luv Jaurim,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2005-12-03-01,자우림,jaurim,Luv Jaurim in Jeju,2005-12-03,2005-12-03,2005,KR,제주,컨벤션센터,Luv Jaurim,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2005-12-23-01,자우림,jaurim,자우림의 크리스마스 콘서트,2005-12-23,2005-12-25,2005,KR,서울,잠실학생체육관,,false,held,,,,,,,solo,christmas,,,2025-08-09,2025-08-09
2005-12-31-01,자우림,jaurim,Midnight Express,2005-12-31,2005-12-31,2005,KR,서울,잠실 실내체육관,MIDNIGHT EXPRESS,false,held,,,,,,,solo,year-end,,,2025-08-09,2025-08-09
2006-12-23-01,자우림,jaurim,자우림의 크리스마스 콘서트,2006-12-23,2006-12-25,2006,KR,서울,악스코리아,,false,held,,,,,,,solo,christmas,,,2025-08-09,2025-08-09
2008-07-04-01,자우림,jaurim,Carnaval Amour,2008-07-04,2008-07-05,2008,KR,서울,올림픽공원 올림픽홀,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2008-12-20-01,자우림,jaurim,MIDNIGHT EXPRESS 크리스마스 콘서트,2008-12-20,2008-12-20,2008,KR,대구,시민회관,MIDNIGHT EXPRESS,false,held,,,,,,,solo,christmas,,,2025-08-09,2025-08-09
2008-12-25-01,자우림,jaurim,MIDNIGHT EXPRESS 크리스마스 콘서트,2008-12-25,2008-12-25,2008,KR,부산,KBS홀,MIDNIGHT EXPRESS,false,held,,,,,,,solo,christmas,,,2025-08-09,2025-08-09
2008-12-31-01,자우림,jaurim,MIDNIGHT EXPRESS 2008~2009,2008-12-31,2008-12-31,2008,KR,서울,코엑스 대서양홀,MIDNIGHT EXPRESS,false,held,,,,,,,solo,year-end,,,2025-08-09,2025-08-09
2009-06-27-01,자우림,jaurim,"AUDIOLOGIE 1: 노래의 숲에서 길을 잃다",2009-06-27,2009-06-29,2009,KR,서울,이화여자대학교 삼성홀,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2011-12-03-01,자우림,jaurim,JAURIM NEVER DIE,2011-12-03,2011-12-03,2011,KR,대구,천마아트센터,JAURIM NEVER DIE,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2011-12-17-01,자우림,jaurim,JAURIM NEVER DIE,2011-12-17,2011-12-17,2011,KR,대전,충남대학교 정심화홀,JAURIM NEVER DIE,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2011-12-23-01,자우림,jaurim,JAURIM NEVER DIE,2011-12-23,2011-12-25,2011,KR,서울,SK올림픽핸드볼경기장,JAURIM NEVER DIE,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2012-01-07-01,자우림,jaurim,JAURIM NEVER DIE,2012-01-07,2012-01-07,2012,KR,부천,부천실내체육관,JAURIM NEVER DIE,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2013-12-28-01,자우림,jaurim,"스물다섯, 스물하나",2013-12-28,2013-12-28,2013,KR,서울,코엑스 Hall D,스물다섯, 스물하나,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2013-12-31-01,자우림,jaurim,"스물다섯, 스물하나",2013-12-31,2013-12-31,2013,KR,부산,롯데호텔,스물다섯, 스물하나,false,held,,,,,,,solo,year-end,,,2025-08-09,2025-08-09
2017-08-18-01,자우림,jaurim,자우림20,2017-08-18,2017-08-20,2017,KR,서울,블루스퀘어 아이마켓홀,,false,held,,,,,,,solo,anniversary,,,2025-08-09,2025-08-09
